font	group	site	candidate	label	markH	capH	wordH	t	vsCap	vsWordInk	panelH	renderedVsCap	renderedVsWordInk
Helvetica	freshness	TasksView[IconWarningFilled+Updated 4 m ago]	b	Updated 4 m ago	12.000	8.607	11.109	1.000	1.251	-0.062	12.000	1.495	0.073
Helvetica	freshness	TransfersView[IconWarningFilled+Updated 4 m ago]	b	Updated 4 m ago	12.000	8.607	11.109	1.000	1.251	-0.062	12.000	1.495	0.073
Helvetica	pills	EventLogView[IconCheckmarkFilled+Error]	c	Error	12.000	10.042	12.961	0.671	0.979	0.846	12.000	1.172	0.978
Helvetica	pills	EventLogView[IconCheckmarkFilled+Info]	c	Info	12.000	10.042	12.961	0.671	0.979	0.917	12.000	1.309	1.047
Helvetica	pills	EventLogView[IconCheckmarkFilled+Warning]	c	Warning	12.000	10.042	12.961	0.671	0.979	-0.569	12.000	1.172	-0.440
Helvetica	freshness	ProjectsView[IconWarningFilled+Updated 4 m ago]	c	Updated 4 m ago	12.000	8.607	11.109	1.000	1.251	-0.062	12.000	1.495	0.073
Helvetica	legend	StatisticsView[Panel+Einstein@Home]	c	Einstein@Home	12.000	8.607	11.109	1.000	1.251	1.242	12.000	1.671	1.382
Helvetica	legend	StatisticsView[Panel+LHC@home]	c	LHC@home	12.000	8.607	11.109	1.000	1.251	1.242	12.000	1.654	1.369
Helvetica	computing	TasksView[IconChevronDownRegular+Computing]	c	Computing	12.000	9.731	12.441	1.000	1.355	0.044	16.000	1.337	-0.149
Helvetica	computing	TasksView[IconPlaySettingsRegular+Computing]	c	Computing	16.000	9.731	12.441	1.000	1.355	0.044	16.000	1.291	-0.194
Helvetica	freshness	TasksView[IconWarningFilled+3 deadlines at risk]	c	3 deadlines at risk	12.000	8.607	11.109	1.000	1.251	1.146	27.000	1.495	1.275
Helvetica	freshness	TasksView[IconWarningFilled+Updated 4 m ago]	c	Updated 4 m ago	12.000	8.607	11.109	1.000	1.251	-0.062	12.000	1.495	0.073
Helvetica	freshness	TransfersView[IconWarningFilled+Updated 4 m ago]	c	Updated 4 m ago	12.000	8.607	11.109	1.000	1.251	-0.062	12.000	1.495	0.073
Helvetica	pills	EventLogView[IconCheckmarkFilled+Error]	d	Error	12.000	10.042	12.961	0.671	0.730	0.596	12.000	0.672	0.478
Helvetica	pills	EventLogView[IconCheckmarkFilled+Info]	d	Info	12.000	10.042	12.961	0.671	0.730	0.668	12.000	0.809	0.547
Helvetica	pills	EventLogView[IconCheckmarkFilled+Warning]	d	Warning	12.000	10.042	12.961	0.671	0.730	-0.819	12.000	0.672	-0.903
